CONTA,PRODUÇÃO,IMPORTAÇÃO,VARIAÇÃO DE ESTOQUES,EXPORTAÇÃO,NÃO-APROVEITADA,REINJEÇÃO,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,RESIDENCIAL,COMERCIAL,PÚBLICO,AGROPECUÁRIO,RODOVIÁRIO,FERROVIÁRIO,AÉREO,HIDROVIÁRIO,INDUSTRIAL - TOTAL,Ano
 LENHA ,26411,0,0,0,0,0,0,0,7080,83,0,3171,0,0,0,0,7443,2019
 PRODUTOS DA CANA ,52861,0,0,0,0,0,0,15139,0,0,0,0,0,0,0,0,13175,2019
 OUTRAS FONTES PRIMÁRIAS ,23320,0,0,0,0,0,0,0,658,134,0,0,0,0,0,0,7698,2019
 BIODIESEL ,0,0,-14,0,0,0,0,0,0,3,0,661,3694,105,0,0,101,2019
 ÓLEO DIESEL ,0,11031,-176,-509,0,0,0,560,0,27,4,6134,34298,974,0,360,940,2019
 ÓLEO COMBUSTÍVEL ,0,54,-35,-8836,0,0,0,124,0,20,0,10,0,0,0,812,1333,2019
 GASOLINA ,0,3763,-275,-1551,0,0,0,0,0,0,0,0,21453,0,33,0,0,2019
 GLP ,0,2172,19,0,0,0,0,0,6499,391,261,21,0,0,0,0,963,2019
 NAFTA ,0,6611,18,0,0,0,6759,0,0,0,0,0,0,0,0,0,0,2019
 QUEROSENE ,0,853,-84,-2439,0,0,2,0,2,0,0,0,0,0,3315,0,1,2019
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,1131,2019
 COQUE DE CARVÃO MINERAL ,0,902,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,7228,2019
 URÂNIO CONTIDO NO UO2,0,3269,-4560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
 ELETRICIDADE,0,2163,0,-17,0,0,0,3339,12303,8139,3974,2617,0,140,0,0,16966,2019
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,405,78,0,9,0,0,0,0,3811,2019
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,767,230,-1018,0,0,564,0,0,0,0,9,17492,0,0,0,0,2019
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2135,-27,-583,0,0,0,3089,0,0,0,0,0,0,0,0,6517,2019
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1142,40,-388,0,0,6471,0,0,0,0,0,0,0,0,0,0,2019
 ALCATRÃO ,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,83,2019
 PETRÓLEO ,134067,9627,-154,-55727,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 GÁS NATURAL ,40560,9324,0,0,-1341,-12638,578,6060,405,113,40,0,1946,0,0,0,9226,2018
 CARVÃO VAPOR ,1930,5603,-259,0,0,0,0,0,0,0,0,0,0,0,0,0,3796,2018
 CARVÃO METALÚRGICO ,0,8205,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 URÂNIO U3O8 ,0,5116,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 ENERGIA HIDRÁULICA ,33452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 LENHA ,26250,0,0,0,0,0,0,0,7247,87,0,3054,0,0,0,0,7389,2018
 PRODUTOS DA CANA ,50895,0,0,0,0,0,0,14296,0,0,0,0,0,0,0,0,13233,2018
 OUTRAS FONTES PRIMÁRIAS ,22442,0,0,0,0,0,0,0,619,124,0,0,0,0,0,0,8120,2018
 BIODIESEL ,0,0,25,0,0,0,0,0,0,2,0,604,3369,105,0,0,94,2018
 ÓLEO DIESEL ,0,9879,124,-1212,0,0,0,557,0,20,2,6023,33568,1043,0,313,933,2018
 ÓLEO COMBUSTÍVEL ,0,305,215,-7758,0,0,0,169,0,16,2,13,0,0,0,976,1289,2018
 GASOLINA ,0,2493,149,-1073,0,0,0,0,0,0,0,0,21558,0,37,0,0,2018
 GLP ,0,2130,-95,-1,0,0,0,0,6531,394,259,21,0,0,0,0,984,2018
 NAFTA ,0,6102,-160,0,0,0,6217,0,0,0,0,0,0,0,0,0,0,2018
 QUEROSENE ,0,737,205,-2796,0,0,2,0,2,0,0,0,0,0,3387,0,1,2018
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,1240,2018
 COQUE DE CARVÃO MINERAL ,0,1269,-364,0,0,0,0,0,0,0,0,0,0,0,0,0,7880,2018
 URÂNIO CONTIDO NO UO2,0,1150,-2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 ELETRICIDADE,0,3008,0,0,0,0,0,3205,11852,7793,3902,2616,0,169,0,0,17265,2018
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,406,81,0,9,0,0,0,0,3714,2018
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,947,-868,-883,0,0,556,0,0,0,0,9,15718,0,0,0,0,2018
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2198,-19,-554,0,0,276,3165,0,0,0,0,0,0,0,0,5988,2018
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1243,-35,-487,0,0,6338,0,0,0,0,0,0,0,0,0,0,2018
 ALCATRÃO ,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,91,2018
 PETRÓLEO ,135907,7491,225,-53882,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 GÁS NATURAL ,39810,9434,0,0,-1346,-9959,689,5297,379,92,43,0,1734,0,0,0,8995,2017
 CARVÃO VAPOR ,1931,5453,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3661,2017
 CARVÃO METALÚRGICO ,0,8580,-222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 URÂNIO U3O8 ,0,5206,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 ENERGIA HIDRÁULICA ,31898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 LENHA ,24864,0,0,0,0,0,0,0,6486,90,0,3136,0,0,0,0,7346,2017
 PRODUTOS DA CANA ,49725,0,0,0,0,0,0,11926,0,0,0,0,0,0,0,0,17200,2017
 OUTRAS FONTES PRIMÁRIAS ,20044,0,0,0,0,0,0,0,581,114,0,0,0,0,0,0,7657,2017
 BIODIESEL ,0,0,-33,0,0,0,0,0,0,1,0,484,2679,75,0,0,74,2017
 ÓLEO DIESEL ,0,10986,-59,-582,0,0,0,570,0,13,2,6150,34031,952,0,317,943,2017
 ÓLEO COMBUSTÍVEL ,0,72,-64,-6983,0,0,0,177,0,18,7,13,0,0,0,925,1981,2017
 GASOLINA ,0,3456,-52,-368,0,0,0,0,0,0,0,0,24816,0,39,0,0,2017
 GLP ,0,2012,-67,-1,0,0,0,26,6606,394,259,20,0,0,0,0,999,2017
