Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
GD,17,13669,27728,49888,8. Repotenciação de UHE
Hidro,95237,131921,135010,135084,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Gás Natural,11242,15892,24943,31305,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Carvão,3174,2251,340,0,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Nuclear,1990,10438,10438,10438,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,5184,0,0,0,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Biomassa,12000,13904,13904,13904,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Eólica,6556,44193,95753,140204,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Solar,21,3688,29711,72669,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Outros,490,490,490,490,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0,12127,36273,64984,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
GD,17,13669,27728,49888,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Hidro,95237,130865,130865,131019,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Gás Natural,11242,23750,26516,26147,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Carvão,3174,2251,340,0,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Nuclear,1990,3395,3395,3395,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Óleos Comb,5184,0,0,0,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Biomassa,12000,23995,23995,23995,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Eólica,6556,55668,124459,192670,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Solar,21,6424,42174,85132,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Outros,490,490,490,490,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Pot. Compl.,0,0,30344,63065,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
GD,17,13669,27728,49888,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Hidro,95237,137076,156937,164480,61. Carvão financiado com redução de 20% no CAPEX
Gás Natural,11242,16428,23829,24466,61. Carvão financiado com redução de 20% no CAPEX
Carvão,3174,4251,2340,2000,61. Carvão financiado com redução de 20% no CAPEX
Nuclear,1990,3395,3395,3395,61. Carvão financiado com redução de 20% no CAPEX
Óleos Comb,5184,0,0,0,61. Carvão financiado com redução de 20% no CAPEX
Biomassa,12000,24070,24071,24071,61. Carvão financiado com redução de 20% no CAPEX
Eólica,6556,41823,97291,135995,61. Carvão financiado com redução de 20% no CAPEX
Solar,21,2170,4719,38024,61. Carvão financiado com redução de 20% no CAPEX
Outros,490,490,490,490,61. Carvão financiado com redução de 20% no CAPEX
Pot. Compl.,0,12496,29493,60789,61. Carvão financiado com redução de 20% no CAPEX
GD,17,13669,27728,49888,61. Carvão financiado com redução de 20% no CAPEX
Hidro,95237,137589,164367,170051,43. Repotenciação de UHE
Gás Natural,11242,17042,24443,24880,43. Repotenciação de UHE
Carvão,3174,2251,340,0,43. Repotenciação de UHE
Nuclear,1990,3395,3395,3395,43. Repotenciação de UHE
Óleos Comb,5184,0,0,0,43. Repotenciação de UHE
Biomassa,12000,24809,24809,24809,43. Repotenciação de UHE
Eólica,6556,42459,91293,131393,43. Repotenciação de UHE
Solar,21,2170,4719,38447,43. Repotenciação de UHE
Outros,490,490,490,490,43. Repotenciação de UHE
Pot. Compl.,0,12947,25492,57300,43. Repotenciação de UHE
GD,17,13669,27728,49888,43. Repotenciação de UHE
Hidro,95237,137210,157517,164659,55. Redução de 45% no CAPEX de Usina Nuclear
Gás Natural,11242,17042,25368,26005,55. Redução de 45% no CAPEX de Usina Nuclear
Carvão,3174,2251,340,0,55. Redução de 45% no CAPEX de Usina Nuclear
Nuclear,1990,3395,3395,3395,55. Redução de 45% no CAPEX de Usina Nuclear
Óleos Comb,5184,0,0,0,55. Redução de 45% no CAPEX de Usina Nuclear
Biomassa,12000,24346,24346,24346,55. Redução de 45% no CAPEX de Usina Nuclear
Eólica,6556,44178,98173,135718,55. Redução de 45% no CAPEX de Usina Nuclear
Solar,21,2170,4719,39206,55. Redução de 45% no CAPEX de Usina Nuclear
Outros,490,490,490,490,55. Redução de 45% no CAPEX de Usina Nuclear
Pot. Compl.,0,12769,28816,60542,55. Redução de 45% no CAPEX de Usina Nuclear
GD,17,13669,27728,49888,55. Redução de 45% no CAPEX de Usina Nuclear
Hidro,95237,138247,157399,164636,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Gás Natural,11242,17323,25259,30503,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Carvão,3174,2251,340,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Nuclear,1990,3395,3395,3395,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Óleos Comb,5184,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Biomassa,12000,16489,16489,16489,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Eólica,6556,50961,108229,155190,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Solar,21,2170,6991,21061,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Outros,490,490,490,490,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Pot. Compl.,0,11587,28430,56392,63. Capacidade Instalada de GD limitada a 25 GW em 2050
GD,17,6834,13864,24944,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Hidro,95237,137210,157517,164659,56. Redução de 50% no CAPEX de Usina Nuclear
Gás Natural,11242,17042,25368,26005,56. Redução de 50% no CAPEX de Usina Nuclear
Carvão,3174,2251,340,0,56. Redução de 50% no CAPEX de Usina Nuclear
Nuclear,1990,3395,3395,3395,56. Redução de 50% no CAPEX de Usina Nuclear
Óleos Comb,5184,0,0,0,56. Redução de 50% no CAPEX de Usina Nuclear
Biomassa,12000,24346,24346,24346,56. Redução de 50% no CAPEX de Usina Nuclear
Eólica,6556,44178,98173,135718,56. Redução de 50% no CAPEX de Usina Nuclear
Solar,21,2170,4719,39206,56. Redução de 50% no CAPEX de Usina Nuclear
Outros,490,490,490,490,56. Redução de 50% no CAPEX de Usina Nuclear
Pot. Compl.,0,12769,28816,60542,56. Redução de 50% no CAPEX de Usina Nuclear
GD,17,13669,27728,49888,56. Redução de 50% no CAPEX de Usina Nuclear
Hidro,95237,142005,155347,155482,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Gás Natural,11242,22163,32765,37691,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Carvão,3174,2251,340,0,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Nuclear,1990,3395,3395,3395,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Óleos Comb,5184,0,0,0,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Biomassa,12000,25498,27520,28546,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Eólica,6556,31309,60968,104385,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Solar,21,6928,39061,39061,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Outros,490,490,490,490,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Pot. Compl.,0,10281,32154,56874,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
GD,17,13669,27728,49888,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Hidro,95237,138319,158432,164550,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,11242,17140,24631,26918,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,3174,2251,340,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Nuclear,1990,3395,3395,3395,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,5184,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,12000,20251,20251,20252,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,6556,45480,101464,145566,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,21,2170,4654,24654,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,490,490,490,490,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0,12302,28746,59032,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,17,13669,27728,49888,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,95237,138778,159327,161573,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Gás Natural,11242,16960,24360,24591,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Carvão,3174,2251,340,0,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Nuclear,1990,3395,3395,3395,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Óleos Comb,5184,0,0,0,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Biomassa,12000,25096,25096,25096,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Eólica,6556,44308,98134,149797,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Solar,21,2170,4719,27404,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
