CONTA,    PRODUÇÃO  ,    IMPORTAÇÃO  ,VARIAÇÃO DE ESTOQUES,    EXPORTAÇÃO  ,    NÃO-APROVEITADA  ,    REINJEÇÃO  ,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,    RESIDENCIAL  ,    COMERCIAL  ,    PÚBLICO,    AGROPECUÁRIO  ,      RODOVIÁRIO  ,      FERROVIÁRIO  ,      AÉREO ,      HIDROVIÁRIO  ,   INDUSTRIAL - TOTAL  ,CONSUMO NÃO-IDENTIFICADO,Ano
 LENHA ,28618,0,0,0,0,0,0,0,7812,77,0,2355,0,0,0,0,6064,0,2007
 PRODUTOS DA CANA ,40458,0,0,0,0,0,0,10593,0,0,0,0,0,0,0,0,16151,0,2007
 OUTRAS FONTES PRIMÁRIAS ,7879,0,0,0,0,0,0,0,197,28,0,0,0,0,0,0,4972,0,2007
 ENERGIA PRIMÁRIA TOTAL ,223882,43331,-457,-21813,-1773,-3145,771,14415,8229,381,56,2368,2251,0,0,0,38243,0,2007
 BIODIESEL ,0,0,0,0,0,0,0,0,0,0,0,45,247,8,0,0,6,0,2007
 ÓLEO DIESEL ,0,4324,-29,-1529,0,0,0,131,0,55,92,5050,27476,970,0,408,717,0,2007
 ÓLEO COMBUSTÍVEL ,0,112,-105,-8088,0,0,0,1057,0,116,85,61,0,0,0,930,4247,0,2007
 GASOLINA ,0,7,68,-2853,0,0,0,0,0,0,0,0,14286,0,55,0,0,0,2007
 GLP ,0,1096,-39,-14,0,0,0,53,5896,302,421,19,0,0,0,0,739,0,2007
 NAFTA ,0,3692,114,-20,0,0,7792,0,0,0,0,0,0,0,0,0,0,0,2007
 QUEROSENE ,0,732,-5,-1402,0,0,10,0,9,0,0,0,0,0,2618,0,4,0,2007
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,1038,0,2007
 COQUE DE CARVÃO MINERAL ,0,1087,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,6716,0,2007
 URÂNIO CONTIDO NO UO2,0,991,-3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 ELETRICIDADE,0,3514,0,-174,0,0,0,1485,7815,5034,2899,1508,0,135,0,0,16565,0,2007
 CARVÃO VEGETAL ,0,9,0,0,0,0,0,0,517,73,0,6,0,0,0,0,5649,0,2007
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,2,-744,-1863,0,0,355,0,0,0,0,4,8611,0,0,0,0,0,2007
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2733,22,-181,0,0,140,3556,0,0,0,0,0,0,0,0,6742,0,2007
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1107,70,-699,0,0,4948,0,0,0,0,0,0,0,0,0,0,0,2007
 ALCATRÃO ,0,0,-2,-4,0,0,147,0,0,0,0,0,0,0,0,0,56,0,2007
 ENERGIA SECUNDÁRIA TOTAL ,0,19413,-4418,-16833,0,0,13394,6632,14238,5581,3500,6695,50622,1114,2673,1338,42483,0,2007
 TOTAL  ,223882,62745,-4875,-38646,-1773,-3145,14166,21048,22468,5963,3556,9063,52874,1114,2673,1338,80727,0,2007
 PETRÓLEO ,89214,17284,707,-19007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 GÁS NATURAL ,17582,8614,0,0,-1651,-2829,759,3500,207,265,54,3,2029,0,0,0,7563,0,2006
 CARVÃO VAPOR ,2199,2437,244,0,0,0,0,0,0,0,0,0,0,0,0,0,2768,0,2006
 CARVÃO METALÚRGICO ,87,6749,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 URÂNIO U3O8 ,2337,1984,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 ENERGIA HIDRÁULICA ,29997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 LENHA ,28482,0,0,0,0,0,0,13,8276,74,0,2243,0,0,0,0,5806,0,2006
 PRODUTOS DA CANA ,35133,0,0,0,0,0,0,8949,0,0,0,0,0,0,0,0,15258,0,2006
 OUTRAS FONTES PRIMÁRIAS ,6950,0,0,0,0,0,0,0,171,24,0,0,0,0,0,0,4638,0,2006
 ENERGIA PRIMÁRIA TOTAL ,211985,37071,2191,-19007,-1651,-2829,759,12462,8655,364,54,2247,2029,0,0,0,36036,0,2006
 BIODIESEL ,0,0,0,0,0,0,0,0,0,0,0,7,42,1,0,0,1,0,2006
 ÓLEO DIESEL ,0,3006,-259,-1133,0,0,0,92,0,53,91,4791,26156,912,0,355,665,0,2006
 ÓLEO COMBUSTÍVEL ,0,241,-34,-8970,0,0,0,1123,0,110,54,66,0,0,0,732,4039,0,2006
 GASOLINA ,0,21,79,-2079,0,0,0,0,0,0,0,0,14439,0,53,0,0,0,2006
 GLP ,0,968,7,-20,0,0,0,57,5709,308,409,19,0,0,0,0,695,0,2006
 NAFTA ,0,3494,-22,-24,0,0,7298,0,0,0,0,0,0,0,0,0,0,0,2006
 QUEROSENE ,0,576,-14,-1288,0,0,14,0,14,0,0,0,0,0,2381,0,4,0,2006
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,980,0,2006
 COQUE DE CARVÃO MINERAL ,0,1036,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,6136,0,2006
 URÂNIO CONTIDO NO UO2,0,3958,-5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 ELETRICIDADE,0,3564,0,-24,0,0,0,1253,7379,4749,2842,1411,0,125,0,0,15773,0,2006
 CARVÃO VEGETAL ,0,102,0,-8,0,0,0,0,501,69,0,6,0,0,0,0,5507,0,2006
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,-312,-1817,0,0,586,0,0,0,0,3,6395,0,0,0,0,0,2006
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2250,-13,-151,0,0,133,3525,0,0,0,0,0,0,0,0,5824,0,2006
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1379,-42,-622,0,0,5380,0,0,0,0,0,0,0,0,0,0,0,2006
 ALCATRÃO ,0,0,-2,-3,0,0,149,0,0,0,0,0,0,0,0,0,47,0,2006
 ENERGIA SECUNDÁRIA TOTAL ,0,20599,-6408,-16145,0,0,13564,6360,13606,5290,3397,6306,47033,1039,2435,1087,39676,0,2006
 TOTAL  ,211985,57670,-4216,-35153,-1651,-2829,14324,18823,22261,5654,3452,8553,49063,1039,2435,1087,75712,0,2006
 PETRÓLEO ,84300,17673,-171,-14136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
 GÁS NATURAL ,17575,7917,0,0,-2215,-2751,747,3251,190,233,48,3,1711,0,0,0,7223,0,2005
 CARVÃO VAPOR ,2348,2447,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2827,0,2005
 CARVÃO METALÚRGICO ,134,6959,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
 URÂNIO U3O8 ,1308,5155,-1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
 ENERGIA HIDRÁULICA ,29021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
 LENHA ,28419,0,0,0,0,0,0,0,8234,72,0,2178,0,0,0,0,5633,0,2005
 PRODUTOS DA CANA ,31094,0,0,0,0,0,0,8063,0,0,0,0,0,0,0,0,13082,0,2005
 OUTRAS FONTES PRIMÁRIAS ,6492,0,0,0,0,0,0,0,149,20,0,0,0,0,0,0,4251,0,2005
 ENERGIA PRIMÁRIA TOTAL ,200695,40154,-1980,-14136,-2215,-2751,747,11315,8575,326,48,2182,1711,0,0,0,33019,0,2005
 BIODIESEL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
 ÓLEO DIESEL ,0,2519,133,-891,0,0,0,157,0,53,85,4734,25803,824,0,318,666,0,2005
 ÓLEO COMBUSTÍVEL ,0,50,118,-8284,0,0,0,1125,0,115,60,63,0,0,0,805,4411,0,2005
 GASOLINA ,0,54,-112,-2079,0,0,0,0,0,0,0,0,13595,0,42,0,0,0,2005
 GLP ,0,578,7,-92,0,0,0,27,5712,309,441,22,0,0,0,0,608,0,2005
 NAFTA ,0,3652,3,-53,0,0,7277,0,0,0,0,0,0,0,0,0,0,0,2005
 QUEROSENE ,0,266,24,-1116,0,0,23,0,16,0,0,0,0,0,2553,0,7,0,2005
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,1016,0,2005
 COQUE DE CARVÃO MINERAL ,0,1202,-132,0,0,0,0,0,0,0,0,0,0,0,0,0,6419,0,2005
 URÂNIO CONTIDO NO UO2,0,2331,-4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
 ELETRICIDADE,0,3371,0,-13,0,0,0,1163,7154,4600,2814,1348,0,102,0,0,15081,0,2005
 CARVÃO VEGETAL ,0,58,0,-9,0,0,0,0,517,67,0,5,0,0,0,0,5657,0,2005
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,341,-1285,0,0,358,0,0,0,0,3,6963,0,0,0,0,0,2005
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1994,-6,-222,0,0,155,3549,0,0,0,0,0,0,0,0,5568,0,2005
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1249,-19,-889,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,2005
 ALCATRÃO ,0,0,-10,0,0,0,160,0,0,0,0,0,0,0,0,0,37,0,2005
 ENERGIA SECUNDÁRIA TOTAL ,0,17331,-4046,-14940,0,0,12475,6337,13401,5145,3402,6179,46362,926,2595,1124,39473,0,2005
 TOTAL  ,200695,57485,-6026,-29077,-2215,-2751,13222,17652,21976,5471,3451,8361,48073,926,2595,1124,72492,0,2005
 PETRÓLEO ,76641,23258,-92,-11908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
 GÁS NATURAL ,16852,7115,0,0,-1657,-3249,737,2947,181,215,47,1,1390,0,0,0,6663,0,2004
 CARVÃO VAPOR ,2015,2529,69,0,0,0,0,0,0,0,0,0,0,0,0,0,2839,0,2004
 CARVÃO METALÚRGICO ,137,7135,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
 URÂNIO U3O8 ,3569,506,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
 ENERGIA HIDRÁULICA ,27588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
 LENHA ,28187,0,0,0,0,0,0,0,8073,71,0,2129,0,0,0,0,5477,0,2004
 PRODUTOS DA CANA ,29385,0,0,0,0,0,0,7460,0,0,0,0,0,0,0,0,12812,0,2004
 OUTRAS FONTES PRIMÁRIAS ,6006,0,0,0,0,0,0,0,128,16,0,0,0,0,0,0,4019,0,2004
 ENERGIA PRIMÁRIA TOTAL ,190383,40546,1932,-11908,-1657,-3249,737,10408,8383,303,47,2131,1390,0,0,0,31812,0,2004
 ÓLEO DIESEL ,0,2285,-250,-818,0,0,0,147,0,102,124,4766,25938,778,0,314,705,0,2004
 ÓLEO COMBUSTIVEL ,0,124,250,-9650,0,0,0,1039,0,141,52,70,0,0,0,781,4425,0,2004
 GASOLINA ,0,43,-2,-1561,0,0,0,0,0,0,0,0,13560,0,46,0,0,0,2004
 GLP ,0,1148,89,-39,0,0,0,45,5828,283,460,20,0,0,0,0,544,0,2004
 NAFTA ,0,3442,-220,-13,0,0,7168,0,0,0,0,0,0,0,0,0,0,0,2004
 QUEROSENE ,0,88,3,-1127,0,0,70,0,13,0,0,0,0,0,2345,0,10,0,2004
 GÁS DE COQUERIA ,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,1037,0,2004
 COQUE DE CARVÃO MINERAL ,0,1411,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6816,0,2004
 URÂNIO CONTIDO NO UO2,0,5627,-8361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
 ELETRICIDADE,0,3215,0,0,0,0,0,1135,6757,4307,2587,1280,0,89,0,0,14797,0,2004
 CARVÃO VEGETAL ,0,33,0,-18,0,0,0,0,503,65,0,5,0,0,0,0,5777,0,2004
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,543,-1154,0,0,515,0,0,0,0,0,6444,0,0,0,0,0,2004
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2152,23,-237,0,0,145,3360,0,0,0,0,0,0,0,0,5223,0,2004
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,485,-31,-437,0,0,4163,0,0,0,0,0,0,0,0,0,0,0,2004
 ALCATRÃO ,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,49,0,2004
 ENERGIA SECUNDÁRIA TOTAL ,0,20060,-7912,-15058,0,0,12238,6033,13102,4900,3225,6144,45943,867,2391,1096,39388,0,2004
 TOTAL  ,190383,60606,-5980,-26966,-1657,-3249,12975,16441,21485,5204,3272,8275,47334,867,2391,1096,71200,0,2004
 PETRÓLEO ,77225,17645,316,-12450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
 GÁS NATURAL ,15681,4448,0,0,-1598,-3019,696,2739,172,205,36,1,1168,0,0,0,5859,0,2003
 CARVÃO VAPOR ,1784,2276,146,0,0,0,0,0,0,0,0,0,0,0,0,0,2615,0,2003
 CARVÃO METALÚRGICO ,37,7030,-185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
 URÂNIO U3O8 ,2744,2154,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
 ENERGIA HIDRÁULICA ,26282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
 LENHA ,25965,0,0,0,0,0,0,0,7964,77,0,1990,0,0,0,0,5185,0,2003
 PRODUTOS DA CANA ,28356,0,0,0,0,0,0,7374,0,0,0,0,0,0,0,0,11980,0,2003
 OUTRAS FONTES PRIMÁRIAS ,5785,0,0,0,0,0,0,0,108,12,0,0,0,0,0,0,3881,0,2003
 ENERGIA PRIMÁRIA TOTAL ,183864,33555,-21,-12450,-1598,-3019,696,10113,8245,296,36,1991,1168,0,0,0,29523,0,2003
 ÓLEO DIESEL ,0,3239,-154,-696,0,0,0,153,0,85,117,4825,24251,682,0,254,644,0,2003
 ÓLEO COMBUSTIVEL ,0,89,-9,-8279,0,0,0,1125,0,129,116,83,0,0,0,699,5069,0,2003
 GASOLINA ,0,142,10,-2073,0,0,0,0,0,0,0,0,13114,0,47,0,0,0,2003
 GLP ,0,1246,89,-80,0,0,0,40,5709,271,391,17,0,0,0,0,564,0,2003
 NAFTA ,0,2827,248,0,0,0,7174,0,0,0,0,0,0,0,0,0,0,0,2003
 QUEROSENE ,0,289,-29,-1120,0,0,72,0,13,0,0,0,0,0,2193,0,13,0,2003
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,971,0,2003
 COQUE DE CARVÃO MINERAL ,0,1821,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,6688,0,2003
 URÂNIO CONTIDO NO UO2,0,1282,-2261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
 ELETRICIDADE,0,3194,0,0,0,0,0,1032,6548,4160,2554,1228,0,84,0,0,13821,0,2003
 CARVÃO VEGETAL ,0,16,0,-8,0,0,0,0,492,63,0,5,0,0,0,0,4870,0,2003
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,3,-874,-392,0,0,458,0,0,0,0,0,5793,0,0,0,0,0,2003
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2172,22,-236,0,0,138,3077,0,0,0,0,0,0,0,0,5144,0,2003
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,449,306,-505,0,0,3778,0,0,0,0,0,0,0,0,0,0,0,2003
 ALCATRÃO ,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,37,0,2003
 ENERGIA SECUNDÁRIA TOTAL ,0,16775,-2714,-13392,0,0,11796,5717,12764,4710,3179,6159,43160,767,2241,953,37826,0,2003
 TOTAL  ,183864,50330,-2736,-25842,-1598,-3019,12492,15831,21010,5006,3215,8151,44329,767,2241,953,67349,0,2003
 PETRÓLEO ,74926,19669,902,-12099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
 GÁS NATURAL ,15416,4724,0,0,-2121,-3211,722,2545,135,182,37,1,862,0,0,0,5581,0,2002
 CARVÃO VAPOR ,1935,2105,-133,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,0,2002
 CARVÃO METALÚRGICO ,62,6895,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
 URÂNIO U3O8 ,3335,3579,-961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
 ENERGIA HIDRÁULICA ,24603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
 LENHA ,23645,0,0,0,0,0,0,0,7677,65,0,1794,0,0,0,0,4938,0,2002
 PRODUTOS DA CANA ,25279,0,0,0,0,0,0,6395,0,0,0,0,0,0,0,0,11106,0,2002
 OUTRAS FONTES PRIMÁRIAS ,5157,0,0,0,0,0,0,0,91,9,0,0,0,0,0,0,3356,0,2002
 ENERGIA PRIMÁRIA TOTAL ,174362,36974,-230,-12099,-2121,-3211,722,8941,7904,256,37,1796,862,0,0,0,27373,0,2002
 ÓLEO DIESEL ,0,5417,453,-682,0,0,0,89,0,79,171,4772,25074,692,0,293,571,0,2002
 ÓLEO COMBUSTIVEL ,0,56,-44,-7603,0,0,0,981,0,377,159,106,0,0,0,742,5871,0,2002
 GASOLINA ,0,126,145,-2624,0,0,0,0,0,0,0,0,12432,0,41,0,0,0,2002
 GLP ,0,2048,0,-106,0,0,0,10,6111,265,406,19,0,0,0,0,594,0,2002
 NAFTA ,0,2486,-103,-38,0,0,6580,3,0,0,0,0,0,0,0,0,0,0,2002
 QUEROSENE ,0,818,28,-740,0,0,92,0,52,0,0,0,0,0,3093,0,16,0,2002
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,299,22,3,0,0,0,0,0,0,879,0,2002
 COQUE DE CARVÃO MINERAL ,0,1437,117,0,0,0,0,0,0,0,0,0,0,0,0,0,6675,0,2002
 URÂNIO CONTIDO NO UO2,0,0,-2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
 ELETRICIDADE,0,3145,0,0,0,0,0,1000,6256,3905,2412,1111,0,80,0,0,13128,0,2002
 CARVÃO VEGETAL ,0,7,0,-4,0,0,0,0,435,58,0,4,0,0,0,0,4118,0,2002
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,549,-391,0,0,472,0,0,0,0,0,6086,0,0,0,0,0,2002
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1895,196,-242,0,0,164,3067,0,0,0,0,0,0,0,0,5233,0,2002
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,424,-34,-124,0,0,4461,0,0,0,0,0,0,0,0,0,0,0,2002
 ALCATRÃO ,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,78,0,2002
 ENERGIA SECUNDÁRIA TOTAL ,0,17866,-945,-12560,0,0,11892,5452,12878,4689,3150,6014,43593,772,3135,1035,37168,0,2002
 TOTAL  ,174362,54841,-1176,-24660,-2121,-3211,12615,14394,20783,4946,3188,7811,44456,772,3135,1035,64542,0,2002
 PETRÓLEO ,66742,21569,2362,-5719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
 GÁS NATURAL ,13894,4053,0,0,-2600,-2799,701,2198,123,140,17,0,503,0,0,0,4568,0,2001
 CARVÃO VAPOR ,2174,1862,457,0,0,0,0,0,0,0,0,0,0,0,0,0,2203,0,2001
 CARVÃO METALÚRGICO ,9,7198,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
 URÂNIO U3O8 ,669,1632,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
 ENERGIA HIDRÁULICA ,23037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
 LENHA ,22437,0,0,0,0,0,0,0,6857,71,0,1638,0,0,0,0,5132,0,2001
 PRODUTOS DA CANA ,22800,0,0,0,0,0,0,5834,0,0,0,0,0,0,0,0,9841,0,2001
 OUTRAS FONTES PRIMÁRIAS ,4705,0,0,0,0,0,0,0,69,5,0,0,0,0,0,0,3055,0,2001
 ENERGIA PRIMÁRIA TOTAL ,156470,36316,4997,-5719,-2600,-2799,701,8032,7050,217,17,1638,503,0,0,0,24800,0,2001
 ÓLEO DIESEL ,0,5586,10,-719,0,0,0,257,0,60,113,4855,24070,456,0,313,491,0,2001
 ÓLEO COMBUSTIVEL ,0,12,69,-7312,0,0,0,1038,0,311,230,143,0,0,0,710,6033,0,2001
 GASOLINA ,0,246,29,-2297,0,0,0,0,0,0,0,0,12994,0,56,0,0,0,2001
 GLP ,0,2349,50,-4,0,0,0,3,6330,266,390,21,0,0,0,0,728,0,2001
 NAFTA ,0,2531,-19,0,0,0,7903,3,0,0,0,0,0,0,0,0,0,0,2001
 QUEROSENE ,0,1036,-12,-612,0,0,94,0,53,0,0,0,0,0,3214,0,16,0,2001
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,327,25,8,1,0,0,0,0,0,891,0,2001
 COQUE DE CARVÃO MINERAL ,0,1115,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6326,0,2001
 URÂNIO CONTIDO NO UO2,0,73,-812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
 ELETRICIDADE,0,3255,0,0,0,0,0,959,6344,3841,2333,1065,0,103,0,0,11988,0,2001
 CARVÃO VEGETAL ,0,11,0,-5,0,0,0,0,417,61,0,4,0,0,0,0,3925,0,2001
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,60,219,-163,0,0,674,0,0,0,0,0,5377,0,0,0,0,0,2001
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2466,-54,-140,0,0,155,2950,0,20,0,0,0,0,0,0,5444,0,2001
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,233,-349,-78,0,0,3876,0,0,0,0,0,0,0,0,0,0,0,2001
 ALCATRÃO ,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,75,0,2001
 ENERGIA SECUNDÁRIA TOTAL ,0,18980,-853,-11335,0,0,12841,5542,13170,4570,3069,6091,42442,560,3271,1023,35922,0,2001
 TOTAL  ,156470,55297,4143,-17054,-2600,-2799,13543,13575,20220,4788,3087,7729,42946,560,3271,1023,60722,0,2001
 PETRÓLEO ,63848,20537,-1272,-963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
 GÁS NATURAL ,13184,1944,0,0,-2351,-2523,730,2065,100,68,7,0,275,0,0,0,3867,0,2000
 CARVÃO VAPOR ,2603,1917,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2269,0,2000
 CARVÃO METALÚRGICO ,9,7300,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
 URÂNIO U3O8 ,131,618,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
 ENERGIA HIDRÁULICA ,26178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
 LENHA ,23054,3,0,0,0,0,0,0,6569,75,0,1638,0,0,0,0,5343,0,2000
 PRODUTOS DA CANA ,19894,0,0,0,0,0,0,5522,0,0,0,0,0,0,0,0,7858,0,2000
 OUTRAS FONTES PRIMÁRIAS ,4493,0,0,0,0,0,0,0,53,2,0,0,0,0,0,0,2999,0,2000
 ENERGIA PRIMÁRIA TOTAL ,153399,32321,111,-963,-2351,-2523,730,7588,6723,146,7,1638,275,0,0,0,22338,0,2000
 ÓLEO DIESEL ,0,4985,-225,-640,0,0,0,252,0,67,118,4452,23409,403,0,277,524,0,2000
 ÓLEO COMBUSTIVEL ,0,68,-234,-5303,0,0,0,1079,0,353,233,106,0,0,0,648,7077,0,2000
 GASOLINA ,0,47,-175,-1578,0,0,0,0,0,0,0,0,13261,0,58,0,0,0,2000
 GLP ,0,3117,-108,-6,0,0,0,45,6325,217,368,15,0,0,0,0,870,0,2000
 NAFTA ,0,2912,3,0,0,0,8098,3,0,0,0,0,0,0,0,0,0,0,2000
 QUEROSENE ,0,741,0,-677,0,0,62,0,36,0,0,0,0,0,3123,0,18,0,2000
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,-14,0,0,318,59,17,3,0,0,0,0,0,932,0,2000
 COQUE DE CARVÃO MINERAL ,0,1111,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,6506,0,2000
 URÂNIO CONTIDO NO UO2,0,0,-221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
 ELETRICIDADE,0,3813,0,0,0,0,0,901,7190,4085,2511,1105,0,107,0,0,12632,0,2000
 CARVÃO VEGETAL ,0,7,0,-5,0,0,0,0,409,63,0,4,0,0,0,0,4336,0,2000
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,32,949,-115,0,0,636,0,0,0,0,0,5820,0,0,0,0,0,2000
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1939,-34,-174,0,0,172,2656,0,20,0,0,0,0,0,0,5177,0,2000
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,156,20,-238,0,0,4450,0,0,0,0,0,0,0,0,0,0,0,2000
 ALCATRÃO ,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,76,0,2000
 ENERGIA SECUNDÁRIA TOTAL ,0,18933,-77,-8741,-14,0,13561,5258,14021,4826,3235,5684,42491,510,3181,925,38154,0,2000
 TOTAL  ,153399,51255,33,-9704,-2365,-2523,14292,12847,20744,4972,3242,7322,42766,510,3181,925,60492,0,2000
 PETRÓLEO ,56612,24168,281,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
 GÁS NATURAL ,11809,351,0,0,-2258,-2143,709,1539,69,41,8,0,139,0,0,0,3093,0,1999
 CARVÃO VAPOR ,2110,1716,469,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,1999
 CARVÃO METALÚRGICO ,19,7218,-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
 URÂNIO U3O8 ,0,6,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
 ENERGIA HIDRÁULICA ,25197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
 LENHA ,22126,3,0,0,0,0,0,0,6421,83,0,1723,0,0,0,0,5270,0,1999
 PRODUTOS DA CANA ,24575,0,0,0,0,0,0,6751,0,0,0,0,0,0,0,0,9935,0,1999
 OUTRAS FONTES PRIMÁRIAS ,4017,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,2887,0,1999
 ENERGIA PRIMÁRIA TOTAL ,146468,33466,795,-30,-2258,-2143,709,8291,6537,127,8,1723,139,0,0,0,23200,0,1999
 ÓLEO DIESEL ,0,4475,-144,-505,0,0,0,239,0,71,251,4617,22704,349,0,341,508,0,1999
 ÓLEO COMBUSTIVEL ,0,228,117,-4394,0,0,0,1337,0,343,247,87,0,0,0,754,7773,0,1999
 GASOLINA ,0,175,-43,-1241,0,0,0,0,0,0,0,0,13769,0,58,0,0,0,1999
 GLP ,0,3298,-15,-3,0,0,0,20,6331,189,306,13,0,0,0,0,800,0,1999
 NAFTA ,0,2974,-35,0,0,0,7911,3,0,0,0,0,0,0,0,0,0,0,1999
 QUEROSENE ,0,849,-50,-833,0,0,26,0,36,0,0,0,0,0,2931,0,18,0,1999
