PAIS,PRODUTO,DADO_TIPO,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Provisional
Belgium,Oil products,Total energy supply (PJ),-253.5257999,-433.717202,-435.7197987,-276.6993988,-292.2205991,-236.7247995,-568.1218012,-382.4067999,-386.1619994,-454.7594015,-381.2270015,-239.0670001,-248.0415985,-278.3033996,-151.0397981,-309.2662007,-346.0854014,-307.1280019,-369.7403985,-395.5863983,-454.8085001,-396.8528006,-377.840098,-278.7631981,-195.8569005,-359.4012006,-401.7807019,-458.665598,-386.899902,-482.5296002,-438.4064013,-503.0989006,-532.3580007,-488.1699985,-377.6109001,-423.1017004,-489.3517019,-430.3284982,-327.9450981,-338.8092998,-314.6741981,-417.8060013,-281.536099,-449.4913981,-422.1085998,-411.7565987,-506.4098388,-463.3597209,-562.0919007,-335.6868388,-355.3045382
Belgium,Natural gas,Total energy supply (PJ),197.3330991,248.8085993,299.0601011,350.4843005,346.3011011,365.8013984,359.8902021,356.8481988,389.8988985,373.0734011,344.0898008,286.8705009,298.111502,307.6218015,309.1104015,277.5420007,306.0594008,302.0616013,335.6792984,342.0216012,365.6961004,378.8937021,393.8363997,404.9720986,444.2588987,494.6985009,471.630602,522.2726987,558.3050992,559.7145016,551.8106983,560.1078013,602.9828983,610.0163999,617.1876012,630.5355006,627.1146003,621.3015007,630.7856996,701.1288005,602.9819982,601.9938003,606.4721984,529.2956705,583.9232408,595.6671603,608.7654888,628.2928789,636.2001908,633.3956084,636.1747183
Belgium,Nuclear,Total energy supply (PJ),0.0,0.1200020616,0.82909107,1.61454731,74.007271,109.4836351,130.2436359,136.5054559,124.4399984,136.8981819,140.2799984,170.8800008,262.974545,302.6509102,377.4654548,429.7527253,457.8218196,470.2036358,449.6400002,466.0581805,467.5745473,474.0654564,457.3854546,443.1709085,451.1563628,472.7563655,517.1781837,503.618181,534.7309073,525.3490923,505.6254543,516.6545448,516.8618165,516.1309101,519.2181811,508.8545448,526.112727,497.1054545,515.1490929,523.025456,526.18909,439.5818203,465.207272,367.6690922,284.760002,474.7963628,460.6559985,311.9672728,474.802911,375.6512725,549.0130911
Belgium,Renewables and waste,Total energy supply (PJ),0.4823989092,0.6479994096,0.9766004076,1.555999099,1.458802537,1.146400268,2.61139927,3.6087997,3.881402248,3.403801411,3.716601426,3.618797778,5.98860194,6.180604402,7.644200825,9.743797289,9.835998998,10.36720344,18.35119657,32.70280591,33.91820046,35.62199778,32.60720033,33.33499596,39.23520618,38.39520012,38.42980403,40.63899835,43.90939994,45.25660333,51.60879535,50.24020161,60.36500607,64.02799971,69.41363127,82.30120876,92.70827472,107.2017035,124.7859956,153.1256744,154.7080127,170.1723395,177.6589408,171.3842045,182.6499413,192.1109705,197.0386038,201.082412,206.295447,226.5274127,232.6464167
Belgium,Electricity,Total energy supply (PJ),-1.778401915,-1.929599824,-2.717999384,-1.166400612,-3.070800086,-12.10320144,-4.982400857,-9.997199172,-4.4244009,-9.485999266,1.072800511,1.137599615,-1.144800911,1.115999914,-0.1656005004,-0.7667998596,-7.624799194,-7.649999543,-9.183599262,-13.40640156,-6.649199431,0.460799208,8.031601242,14.33880192,14.65920097,15.08759853,11.77200044,5.014798315,3.067199438,15.57359809,32.78160149,27.31680172,23.07600037,27.99719859,22.69439868,36.56520009,24.40440084,38.1492005,-6.606000029,1.98360117,9.133198564,35.76959923,34.70400001,63.3708019,75.59640025,22.25879982,21.6777599,62.37899922,-6.676560169,-1.198438006,-28.35468013
Belgium,Heat,Total energy supply (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.870198804,5.595298135,5.420599718,5.745901518,7.560699286,4.904601739,8.852800194,7.047900022,8.884498457,9.791200238,9.810199937,9.099101264,11.32029915,11.27239797,10.28839949,9.900999068,9.969901236,9.499999925
Belgium,Total,Total energy supply (PJ),1660.521845,1819.103611,1925.53447,1889.35688,1771.889126,1900.14605,1889.02508,1988.457728,2052.165065,1958.066048,1822.585241,1736.557826,1715.057046,1788.871708,1846.551338,1913.429255,1953.973422,1977.906327,1996.791227,2004.922323,2095.365192,2120.641825,2068.008921,2196.347144,2233.154689,2350.557581,2358.858929,2401.025637,2402.318144,2430.548011,2414.456828,2335.093313,2436.916163,2449.798344,2434.250021,2404.703008,2358.408446,2432.182952,2332.278611,2514.345536,2340.389108,2243.375911,2337.36834,2207.299989,2201.511537,2327.319208,2316.907604,2230.536737,2297.411376,2106.853633,2327.873662
Canada,"Coal, peat and oil shale",Total energy supply (PJ),664.6078549,689.1347363,639.1075214,622.1843419,671.1891905,702.6246185,736.2457362,752.9066044,828.9328885,861.4695957,904.8514295,949.9073093,1015.75555,1119.251625,1082.644741,1000.920838,1074.373672,1153.412953,1158.020636,1015.732866,1059.351082,1099.599586,1007.354476,1037.721566,1061.449895,1085.620296,1156.245365,1233.011118,1230.985607,1327.10843,1306.647384,1256.785485,1242.59899,1197.657716,1259.237941,1265.826503,1271.337428,1151.506925,918.5451167,966.9743013,872.1314284,816.0165519,805.5854202,855.362344,773.5084404,732.9613591,753.9045951,597.6908501,497.3951936,384.0465978,446.2600845
Canada,"Crude, NGL and feedstocks",Total energy supply (PJ),2861.76543,3150.665641,3452.31771,3610.16664,3680.58303,3676.526021,3854.21926,3861.013482,4121.28559,3975.248231,3733.015047,3209.567863,3054.782076,3147.176437,3030.493918,3097.993645,3295.067033,3323.088725,3450.459433,3466.546801,3301.364646,3280.774047,3459.893177,3499.048055,3525.262811,3659.303892,3816.637987,3896.766179,3933.76725,4047.887624,4158.891449,4133.695374,4336.330109,4540.508597,4304.90282,4540.611182,4657.95311,4415.127481,4355.224849,4357.429697,4223.276976,4593.558405,4548.638412,4680.903573,4842.600465,4498.534432,4829.751858,4770.311854,4933.173911,4448.999933,4654.498234
Canada,Oil products,Total energy supply (PJ),148.9936001,58.55840187,-128.4845017,-213.5919006,-108.3642983,-26.9176992,-180.7525003,-157.9342979,-290.1636996,-269.0317016,-207.7660018,-36.65659793,-104.5496002,-148.6895002,-108.3942005,-61.28140029,-143.2495994,-172.6391015,-133.2589986,-263.0704981,-300.876,-191.0501987,-288.4771979,-329.9029002,-293.8931001,-379.1395007,-400.8164986,-360.5386997,-338.3449,-401.2685014,-502.1720017,-569.2360008,-456.4944993,-480.6850008,-326.5887005,-352.7444984,-448.4455982,-301.9864985,-345.926102,-326.3794987,-227.4436018,-513.4605021,-570.3381005,-557.2489998,-462.5803983,-352.641298,-585.9335998,-432.5993013,-482.2849571,-597.5527778,-580.556011
