data,qtde_negociada,valor_financeiro,mes,ano
2021-09-09,360358,14506103,9,2021
2021-09-10,1474497,65692524,9,2021
2021-09-13,202582,9306616,9,2021
2021-09-14,475959,21765336,9,2021
2021-09-15,388439,16983836,9,2021
2021-09-16,1168418,50807210,9,2021
2021-09-17,319710,13915853,9,2021
2021-09-20,2166200,97147520,9,2021
2021-09-21,981677,46437892,9,2021
2021-09-22,458796,22401827,9,2021
2021-09-23,235395,11370136,9,2021
2021-09-24,190100,9117723,9,2021
2021-09-27,289441,13796122,9,2021
2021-09-28,131336,6131308,9,2021
2021-09-29,335650,15411253,9,2021
2021-09-30,272812,12284440,9,2021
2021-10-01,253592,11337418,10,2021
2021-10-04,206094,9113182,10,2021
2021-10-05,239308,10542113,10,2021
2021-10-06,120173,5308107,10,2021
2021-10-07,91059,4007516,10,2021
2021-10-08,149843,6601515,10,2021
2021-10-11,104423,4591469,10,2021
2021-10-13,63271,2773409,10,2021
2021-10-14,223013,9777289,10,2021
2021-10-15,65316,2868382,10,2021
2021-10-18,69052,3027021,10,2021
2021-10-19,174462,7644438,10,2021
2021-10-20,292556,12801201,10,2021
2021-10-21,428833,18668996,10,2021
2021-10-22,247209,10653967,10,2021
2021-10-25,253348,10868083,10,2021
2021-10-26,152153,6518352,10,2021
2021-10-27,163320,6951194,10,2021
2021-10-28,110481,4696178,10,2021
2021-10-29,235345,10036250,10,2021
2021-11-01,216415,9337286,11,2021
2021-11-03,44629,1944427,11,2021
2021-11-04,600931,26567209,11,2021
2021-11-05,395911,17830869,11,2021
2021-11-08,220147,10018590,11,2021
2021-11-09,530739,25286506,11,2021
2021-11-10,385737,18481086,11,2021
2021-11-11,168530,8084056,11,2021
2021-11-12,200833,9535374,11,2021
2021-11-16,97923,4613694,11,2021
2021-11-17,272637,12939828,11,2021
2021-11-18,265803,12649786,11,2021
2021-11-19,164460,7830628,11,2021
2021-11-22,247220,11830816,11,2021
2021-11-23,307168,14685100,11,2021
2021-11-24,228543,10921183,11,2021
2021-11-25,224963,10813950,11,2021
2021-11-26,320744,15623507,11,2021
2021-11-29,213829,10466978,11,2021
2021-11-30,219048,10760903,11,2021
2021-12-01,311935,15341287,12,2021
2021-12-02,260520,12834281,12,2021
2021-12-03,127049,6256468,12,2021
2021-12-06,301366,14983365,12,2021
2021-12-07,450349,22840176,12,2021
2021-12-08,769980,41472516,12,2021
2021-12-09,503009,27593580,12,2021
2021-12-10,594652,35397655,12,2021
2021-12-13,427689,26534836,12,2021
2021-12-14,363029,22673106,12,2021
2021-12-15,218863,13109515,12,2021
2021-12-16,105410,6286419,12,2021
2021-12-17,171610,10355741,12,2021
2021-12-20,122731,7285629,12,2021
2021-12-21,290674,17510861,12,2021
2021-12-22,431532,25509452,12,2021
2021-12-23,669751,39931855,12,2021
2021-12-24,139399,8360729,12,2021
2021-12-27,100887,6083189,12,2021
2021-12-28,242339,14581926,12,2021
2021-12-29,232893,13860281,12,2021
2021-12-30,156808,9200128,12,2021
2022-01-05,77990,3545322,1,2022
2022-01-06,65654,3451934,1,2022
2022-01-07,31619,1686337,1,2022
2022-01-10,30884,1648661,1,2022
2022-01-11,130245,7146383,1,2022
2022-01-12,53900,2999078,1,2022
2022-01-13,69156,3849211,1,2022
2022-01-14,69518,3871760,1,2022
2022-01-17,98084,5521996,1,2022
2022-01-18,77930,4449634,1,2022
2022-01-19,342109,20618834,1,2022
2022-01-20,410301,25486584,1,2022
2022-01-21,745036,49173240,1,2022
2022-01-24,299038,20635440,1,2022
2022-01-25,85969,6013426,1,2022
2022-01-26,227024,15880393,1,2022
2022-01-27,148302,10343240,1,2022
2022-01-28,579705,40840320,1,2022
2022-01-31,108606,7655983,1,2022
2022-02-01,144153,10291351,2,2022
2022-02-02,244409,17827095,2,2022
2022-02-03,424162,31511943,2,2022
2022-02-04,473481,36634739,2,2022
2022-02-07,331301,26106138,2,2022
2022-02-08,366776,29428879,2,2022
2022-02-09,73000,5866648,2,2022
2022-02-10,186184,15376529,2,2022
2022-02-11,433819,36927103,2,2022
2022-02-14,407870,36444219,2,2022
2022-02-15,204286,18344982,2,2022
2022-02-16,128888,11853418,2,2022
2022-02-17,153609,14267266,2,2022
2022-02-18,851565,81156546,2,2022
2022-02-21,104268,9780923,2,2022
2022-02-22,160040,15061196,2,2022
2022-02-23,121730,11642756,2,2022
2022-02-24,446196,43350164,2,2022
2022-02-25,659645,65234004,2,2022
2022-03-02,337551,33869319,3,2022
2022-03-03,183931,18640441,3,2022
2022-03-04,198573,19912384,3,2022
2022-03-07,181760,18204971,3,2022
2022-03-08,48869,4821781,3,2022
2022-03-09,143476,14073939,3,2022
2022-03-10,216128,21347477,3,2022
2022-03-11,116683,11445148,3,2022
2022-03-14,243903,23920503,3,2022
2022-03-15,325934,31948816,3,2022
2022-03-16,440829,43316501,3,2022
2022-03-17,276902,27298451,3,2022
2022-03-18,479106,47381235,3,2022
2022-03-21,445141,44448310,3,2022
2022-03-22,598556,59275977,3,2022
2022-03-23,89304,8798975,3,2022
2022-03-24,183472,18031284,3,2022
2022-03-25,198258,19408909,3,2022
2022-03-28,178268,17181959,3,2022
2022-03-29,191768,18286182,3,2022
2022-03-30,270014,25010241,3,2022
2022-03-31,560182,51847900,3,2022
2022-04-01,192594,18154008,4,2022
2022-04-04,28309,2647814,4,2022
2022-04-05,112653,10508430,4,2022
2022-04-06,86345,8138468,4,2022
2022-04-07,90202,8563914,4,2022
2022-04-08,1650478,163777337,4,2022
2022-04-11,1962,188814,4,2022
2022-04-12,138536,13517887,4,2022
2022-04-13,228734,22498730,4,2022
2022-04-14,747184,74860505,4,2022
2022-04-18,78134,7781313,4,2022
2022-04-19,89550,8918725,4,2022
2022-04-20,250574,24938094,4,2022
2022-04-22,100733,10017976,4,2022
2022-04-25,53230,5303966,4,2022
2022-04-26,326032,32461207,4,2022
2022-04-27,197424,19643581,4,2022
2022-04-28,363707,36199700,4,2022
2022-04-29,170646,16959301,4,2022
2022-05-02,201834,20115774,5,2022
2022-05-03,825669,82971510,5,2022
2022-05-04,105935,10578172,5,2022
2022-05-05,311746,31217212,5,2022
2022-05-06,302547,30456127,5,2022
2022-05-09,144169,14563443,5,2022
2022-05-10,281344,28512584,5,2022
2022-05-11,312392,31842534,5,2022
2022-05-12,124717,12722931,5,2022
2022-05-13,97156,9940129,5,2022
2022-05-16,163279,16802729,5,2022
2022-05-17,475692,49803542,5,2022
2022-05-18,445521,48284264,5,2022
2022-05-19,148350,16083593,5,2022
2022-05-20,104677,11345627,5,2022
2022-05-23,456210,50108456,5,2022
2022-05-24,1052955,120204093,5,2022
2022-05-25,820602,97163847,5,2022
2022-05-26,449257,53580886,5,2022
2022-05-27,334531,39402601,5,2022
2022-05-30,55002,6511969,5,2022
2022-05-31,349685,41633823,5,2022
2022-06-01,254772,30439304,6,2022
2022-06-02,121963,14580993,6,2022
2022-06-03,185480,22175791,6,2022
2022-06-06,93624,11216525,6,2022
2022-06-07,272268,32679475,6,2022
2022-06-08,407288,48988589,6,2022
2022-06-09,1167732,147048641,6,2022
2022-06-10,146889,18935621,6,2022
2022-06-13,395420,51842997,6,2022
2022-06-14,155027,20652591,6,2022
2022-06-15,637680,90594466,6,2022
2022-06-17,1176876,183966595,6,2022
2022-06-20,489399,82947430,6,2022
2022-06-21,341392,58284660,6,2022
2022-06-22,373027,63946048,6,2022
2022-06-23,1353468,235566545,6,2022
2022-06-24,1009236,178953636,6,2022
2022-06-27,1049888,189193749,6,2022
2022-06-28,1037622,193727082,6,2022
2022-06-29,931265,183376483,6,2022
2022-06-30,369484,74876613,6,2022
2022-07-01,434677,85339842,7,2022
2022-07-04,90062,17694084,7,2022
2022-07-05,388988,76497262,7,2022
2022-07-06,423412,83522434,7,2022
2022-07-07,179794,35295216,7,2022
2022-07-08,708667,138310725,7,2022
2022-07-11,260807,50646478,7,2022
2022-07-12,196611,38184655,7,2022
2022-07-13,198534,38419060,7,2022
2022-07-14,121185,22887246,7,2022
2022-07-15,165324,28973886,7,2022
2022-07-18,22052,3394890,7,2022
2022-07-19,155817,19648334,7,2022
2022-07-20,216801,23432654,7,2022
2022-07-21,254483,24559199,7,2022
2022-07-22,161891,16402127,7,2022
2022-07-26,187630,19014280,7,2022
2022-07-27,132811,13194507,7,2022
2022-07-28,24112,2398672,7,2022
2022-07-29,60796,5688492,7,2022
2022-08-01,63314,5944630,8,2022
2022-08-02,80597,7703309,8,2022
2022-08-03,73790,6671230,8,2022
2022-08-04,154202,13947788,8,2022
2022-08-05,39812,3589157,8,2022
2022-08-08,151740,13590469,8,2022
2022-08-09,153837,13860788,8,2022
2022-08-10,84151,7575112,8,2022
2022-08-11,120466,10876828,8,2022
2022-08-12,89660,8145086,8,2022
2022-08-15,35231,3221933,8,2022
2022-08-16,57474,5254459,8,2022
