Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Hidro,95236.0,131921,135010,135084,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Gás Natural,11242.0,15892,24942,31304,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Carvão,3173.0,2251,340,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Nuclear,1990.0,10438,10438,10438,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,5183.0,0,0,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Biomassa,11999.0,13903,13903,13903,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Eólica,6556.0,44193,95752,140204,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Solar,20.0,3687,29710,72668,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Outros,490.0,490,490,490,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0.0,12127,36272,64983,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
GD,17.0,13668,27728,49887,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Hidro,95236.0,130864,130864,131018,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Gás Natural,11242.0,23749,26516,26147,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Carvão,3173.0,2251,340,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Nuclear,1990.0,3395,3395,3395,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Óleos Comb,5183.0,0,0,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Biomassa,11999.0,23994,23994,23995,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Eólica,6556.0,55668,124458,192670,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Solar,20.0,6423,42174,85132,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Outros,490.0,490,490,490,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Pot. Compl.,0.0,0,30344,63065,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
GD,17.0,13668,27728,49887,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Hidro,95236.0,137075,156937,164479,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Gás Natural,11242.0,16428,23828,24465,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Carvão,3173.0,4251,2340,2000,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Nuclear,1990.0,3395,3395,3395,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Óleos Comb,5183.0,0,0,0,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Biomassa,11999.0,24070,24070,24070,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Eólica,6556.0,41823,97291,135995,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Solar,20.0,2170,4718,38023,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Outros,490.0,490,490,490,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Pot. Compl.,0.0,12495,29493,60788,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
GD,17.0,13668,27728,49887,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Hidro,95236.0,137589,164367,170051,43. Repotenciaç╞o de UHE
Gás Natural,11242.0,17041,24442,24879,43. Repotenciaç╞o de UHE
Carvão,3173.0,2251,340,0,43. Repotenciaç╞o de UHE
Nuclear,1990.0,3395,3395,3395,43. Repotenciaç╞o de UHE
Óleos Comb,5183.0,0,0,0,43. Repotenciaç╞o de UHE
Biomassa,11999.0,24808,24808,24808,43. Repotenciaç╞o de UHE
Eólica,6556.0,42458,91292,131393,43. Repotenciaç╞o de UHE
Solar,20.0,2170,4718,38447,43. Repotenciaç╞o de UHE
Outros,490.0,490,490,490,43. Repotenciaç╞o de UHE
Pot. Compl.,0.0,12946,25491,57300,43. Repotenciaç╞o de UHE
GD,17.0,13668,27728,49887,43. Repotenciaç╞o de UHE
Hidro,95236.0,137209,157517,164659,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Gás Natural,11242.0,17041,25367,26004,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Carvão,3173.0,2251,340,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Nuclear,1990.0,3395,3395,3395,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Óleos Comb,5183.0,0,0,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Biomassa,11999.0,24346,24346,24346,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Eólica,6556.0,44178,98172,135717,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Solar,20.0,2170,4718,39206,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Outros,490.0,490,490,490,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Pot. Compl.,0.0,12769,28815,60541,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
GD,17.0,13668,27728,49887,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Hidro,95236.0,138247,157399,164635,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Gás Natural,11242.0,17323,25258,30503,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Carvão,3173.0,2251,340,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Nuclear,1990.0,3395,3395,3395,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Óleos Comb,5183.0,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Biomassa,11999.0,16488,16488,16488,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Eólica,6556.0,50961,108228,155190,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Solar,20.0,2170,6990,21060,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Outros,490.0,490,490,490,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Pot. Compl.,0.0,11587,28430,56392,63. Capacidade Instalada de GD limitada a 25 GW em 2050
GD,17.0,6834,13864,24943,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Hidro,95236.0,137209,157517,164659,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Gás Natural,11242.0,17041,25367,26004,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Carvão,3173.0,2251,340,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Nuclear,1990.0,3395,3395,3395,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Óleos Comb,5183.0,0,0,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Biomassa,11999.0,24346,24346,24346,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Eólica,6556.0,44178,98172,135717,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Solar,20.0,2170,4718,39206,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Outros,490.0,490,490,490,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Pot. Compl.,0.0,12769,28815,60541,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
GD,17.0,13668,27728,49887,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Hidro,95236.0,142005,155346,155481,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Gás Natural,11242.0,22163,32764,37691,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Carvão,3173.0,2251,340,0,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Nuclear,1990.0,3395,3395,3395,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Óleos Comb,5183.0,0,0,0,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Biomassa,11999.0,25497,27519,28546,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Eólica,6556.0,31309,60968,104385,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Solar,20.0,6927,39061,39061,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Outros,490.0,490,490,490,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Pot. Compl.,0.0,10281,32153,56873,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
GD,17.0,13668,27728,49887,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Hidro,95236.0,138319,158431,164550,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,11242.0,17140,24631,26918,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,3173.0,2251,340,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Nuclear,1990.0,3395,3395,3395,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,5183.0,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,11999.0,20251,20251,20251,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,6556.0,45479,101464,145566,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,20.0,2170,4653,24653,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,490.0,490,490,490,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0.0,12301,28746,59031,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,17.0,13668,27728,49887,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,95236.0,138777,159327,161572,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Gás Natural,11242.0,16959,24360,24591,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Carvão,3173.0,2251,340,0,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Nuclear,1990.0,3395,3395,3395,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Óleos Comb,5183.0,0,0,0,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Biomassa,11999.0,25095,25095,25096,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Eólica,6556.0,44307,98133,149796,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Solar,20.0,2170,4718,27403,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Outros,490.0,490,490,490,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Pot. Compl.,0.0,12119,31556,62957,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
GD,17.0,13668,27728,49887,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Hidro,95236.0,133696,152433,159818,42. Sobrecusto de 100 por cento no CAPEX de PCH
Gás Natural,11242.0,17425,25471,26108,42. Sobrecusto de 100 por cento no CAPEX de PCH
Carvão,3173.0,2251,340,0,42. Sobrecusto de 100 por cento no CAPEX de PCH
Nuclear,1990.0,3395,3395,3395,42. Sobrecusto de 100 por cento no CAPEX de PCH
Óleos Comb,5183.0,0,0,0,42. Sobrecusto de 100 por cento no CAPEX de PCH
Biomassa,11999.0,22360,22360,22360,42. Sobrecusto de 100 por cento no CAPEX de PCH
Eólica,6556.0,48536,104324,139590,42. Sobrecusto de 100 por cento no CAPEX de PCH
Solar,20.0,2170,4718,43478,42. Sobrecusto de 100 por cento no CAPEX de PCH
Outros,490.0,490,490,490,42. Sobrecusto de 100 por cento no CAPEX de PCH
Pot. Compl.,0.0,15310,31890,64717,42. Sobrecusto de 100 por cento no CAPEX de PCH
GD,17.0,13668,27728,49887,42. Sobrecusto de 100 por cento no CAPEX de PCH
Hidro,95236.0,135164,141007,142481,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Gás Natural,11242.0,17153,25279,31465,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Carvão,3173.0,2251,340,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Nuclear,1990.0,3395,3395,3395,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Óleos Comb,5183.0,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Biomassa,11999.0,13555,13555,13555,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Eólica,6556.0,50928,106000,147155,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Solar,20.0,6353,24892,67850,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Outros,490.0,490,490,490,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Pot. Compl.,0.0,12352,36249,64114,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
GD,17.0,13668,27728,49887,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Hidro,95236.0,120461,125570,126413,36. Estagnaç╞o
Gás Natural,11242.0,7305,7780,7412,36. Estagnaç╞o
Carvão,3173.0,2251,340,0,36. Estagnaç╞o
Nuclear,1990.0,3395,3395,3395,36. Estagnaç╞o
Óleos Comb,5183.0,0,0,0,36. Estagnaç╞o
Biomassa,11999.0,13394,13394,13395,36. Estagnaç╞o
Eólica,6556.0,15913,4790,5021,36. Estagnaç╞o
