Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Eólica,573.0,11014,19779,37497,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Solar,3.0,1385,7517,7517,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Outros,451.0,451,451,451,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Pot. Compl.,0.0,10071,25095,49629,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
GD,0.0,903,2004,3733,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Hidro,63293.0,96651,97729,95584,08. Repotenciaç╞o de UHE
Gás Natural,10146.0,16580,24279,29325,08. Repotenciaç╞o de UHE
Carvão,1637.0,1688,255,0,08. Repotenciaç╞o de UHE
Nuclear,1651.0,2983,2983,2983,08. Repotenciaç╞o de UHE
Óleos Comb,4471.0,0,0,0,08. Repotenciaç╞o de UHE
Biomassa,4202.0,4966,4792,4576,08. Repotenciaç╞o de UHE
Eólica,1407.0,14283,30812,43744,08. Repotenciaç╞o de UHE
Solar,4.0,434,4601,13192,08. Repotenciaç╞o de UHE
Outros,451.0,451,451,451,08. Repotenciaç╞o de UHE
Pot. Compl.,0.0,11150,34930,61447,08. Repotenciaç╞o de UHE
GD,0.0,903,2004,3733,08. Repotenciaç╞o de UHE
Hidro,65587.0,92390,92210,89063,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Gás Natural,9113.0,15057,23632,27083,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Carvão,2106.0,1688,255,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Nuclear,1651.0,8830,8830,8830,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,3553.0,0,0,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Biomassa,4041.0,5117,4944,4727,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Eólica,760.0,12788,28297,41632,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Solar,2.0,737,5942,14533,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Outros,451.0,451,451,451,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0.0,12127,36272,64983,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
GD,0.0,903,2004,3733,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Hidro,65137.0,89764,90004,81489,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Gás Natural,9449.0,22502,25123,22978,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Carvão,2380.0,1688,255,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Nuclear,1651.0,2983,2983,2983,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Óleos Comb,3438.0,0,0,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Biomassa,4019.0,14511,14337,14120,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Eólica,734.0,16003,31578,50637,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Solar,3.0,1284,8434,17026,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Outros,451.0,451,451,451,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Pot. Compl.,0.0,0,27667,61618,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
GD,0.0,903,2004,3733,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Hidro,63352.0,93859,105043,105814,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Gás Natural,9970.0,15124,22577,23180,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Carvão,2380.0,3188,1755,1500,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
