Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Nuclear,1724.0,2962,3007,3007,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Óleos Comb,310.0,0,0,0,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Biomassa,4036.0,7855,7561,7361,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Eólica,2886.0,18955,44401,62064,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Solar,5.0,545,1327,10697,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Outros,427.0,427,427,427,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Pot. Compl.,0.0,0,0,0,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
GD,1.0,3014,6338,11463,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Hidro,48825.0,73252,86478,88654,43. Repotenciaç╞o de UHE
Gás Natural,5788.0,4573,4919,9576,43. Repotenciaç╞o de UHE
Carvão,1827.0,584,285,0,43. Repotenciaç╞o de UHE
Nuclear,1724.0,2962,3007,3007,43. Repotenciaç╞o de UHE
Óleos Comb,310.0,0,0,0,43. Repotenciaç╞o de UHE
Biomassa,4036.0,8081,7817,7587,43. Repotenciaç╞o de UHE
Eólica,2886.0,19245,41663,59964,43. Repotenciaç╞o de UHE
Solar,5.0,545,1323,10786,43. Repotenciaç╞o de UHE
Outros,427.0,427,427,427,43. Repotenciaç╞o de UHE
Pot. Compl.,0.0,0,0,0,43. Repotenciaç╞o de UHE
GD,1.0,3014,6338,11463,43. Repotenciaç╞o de UHE
Hidro,48809.0,72625,82631,85711,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Gás Natural,5804.0,4556,5764,10443,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Carvão,1827.0,584,285,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Nuclear,1724.0,2962,3007,3007,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Óleos Comb,310.0,0,0,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Biomassa,4036.0,7940,7675,7445,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Eólica,2886.0,20029,44803,61938,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
