Tipo Expansão,Ano 2012,Ano 2015,Cenário
Expansão por GD,99.0,65,18. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50 por cento maior na entressafra
Expansão Centralizada,610.0,769,28. Capacidade Instalada de GD limitada a 25 GW em 2050
Expansão por GD,67.0,33,28. Capacidade Instalada de GD limitada a 25 GW em 2050
Expansão Centralizada,569.0,717,58. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Expansão por GD,99.0,65,58. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Expansão Centralizada,576.0,726,30. Potencial Inventariado Total exceto UHEs em áreas de interferência com Unidades de Conservaç╞o (UC)
Expansão por GD,99.0,65,30. Potencial Inventariado Total exceto UHEs em áreas de interferência com Unidades de Conservaç╞o (UC)
Expansão Centralizada,573.0,722,50. Eólica Offshore com 20 por cento de reduç╞o de CAPEX
Expansão por GD,99.0,65,50. Eólica Offshore com 20 por cento de reduç╞o de CAPEX
Expansão Centralizada,471.0,593,54. Repotenciaç╞o e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão por GD,99.0,65,54. Repotenciaç╞o e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão Centralizada,579.0,729,09. Integraç╞o Elétrica com países da América do Sul
Expansão por GD,99.0,65,09. Integraç╞o Elétrica com países da América do Sul
Expansão Centralizada,588.0,741,15. Eólica Offshore com 20 por cento de reduç╞o de CAPEX
Expansão por GD,99.0,65,15. Eólica Offshore com 20 por cento de reduç╞o de CAPEX
Expansão Centralizada,581.0,733,35. UHEs com interferência após 2040
Expansão por GD,99.0,65,35. UHEs com interferência após 2040
Expansão Centralizada,690.0,870,40. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Expansão por GD,99.0,65,40. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Expansão Centralizada,570.0,718,47. Frota de veículos leves integralmente elétrica em 2050
Expansão por GD,99.0,65,47. Frota de veículos leves integralmente elétrica em 2050
Expansão Centralizada,588.0,741,04. Exceto UC e TI Potencial Hidrelétrico Inventariado sem áreas de interferência
Expansão por GD,99.0,65,04. Exceto UC e TI Potencial Hidrelétrico Inventariado sem áreas de interferência
Expansão Centralizada,608.0,766,49. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão por GD,99.0,65,49. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão Centralizada,602.0,758,07. Sobrecusto de 100 por cento no CAPEX de PCH
Expansão por GD,99.0,65,07. Sobrecusto de 100 por cento no CAPEX de PCH
Expansão Centralizada,567.0,715,53. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50 por cento maior na entressafra
Expansão por GD,99.0,65,53. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50 por cento maior na entressafra
Expansão Centralizada,577.0,727,64. GN Pré-Sal ao preço de US$ 6MMBtu
