Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
GD,0,904,2005,3733,61. Carvão financiado com redução de 20% no CAPEX
Hidro,64005,93445,111512,111636,43. Repotenciação de UHE
Gás Natural,9818,16147,23159,23393,43. Repotenciação de UHE
Carvão,2380,1689,255,0,43. Repotenciação de UHE
Nuclear,1652,2983,2983,2983,43. Repotenciação de UHE
Óleos Comb,3810,0,0,0,43. Repotenciação de UHE
Biomassa,4094,8825,8652,8435,43. Repotenciação de UHE
Eólica,1055,12268,27388,39418,43. Repotenciação de UHE
Solar,2,434,944,7689,43. Repotenciação de UHE
Outros,452,452,452,452,43. Repotenciação de UHE
Pot. Compl.,0,12947,25492,57300,43. Repotenciação de UHE
GD,0,904,2005,3733,43. Repotenciação de UHE
Hidro,63306,93103,105244,105695,55. Redução de 45% no CAPEX de Usina Nuclear
Gás Natural,10476,16147,24035,24639,55. Redução de 45% no CAPEX de Usina Nuclear
Carvão,2380,1689,255,0,55. Redução de 45% no CAPEX de Usina Nuclear
Nuclear,1813,3144,3144,3144,55. Redução de 45% no CAPEX de Usina Nuclear
Óleos Comb,3624,0,0,0,55. Redução de 45% no CAPEX de Usina Nuclear
Biomassa,4009,8668,8495,8278,55. Redução de 45% no CAPEX de Usina Nuclear
Eólica,1204,12784,29452,40715,55. Redução de 45% no CAPEX de Usina Nuclear
Solar,4,434,944,7841,55. Redução de 45% no CAPEX de Usina Nuclear
Outros,452,452,452,452,55. Redução de 45% no CAPEX de Usina Nuclear
Pot. Compl.,0,12769,28816,60542,55. Redução de 45% no CAPEX de Usina Nuclear
GD,0,904,2005,3733,55. Redução de 45% no CAPEX de Usina Nuclear
Hidro,63959,95535,107592,107428,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Gás Natural,10476,18469,27644,35650,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Carvão,2380,2635,1772,1772,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Nuclear,1652,2983,2983,2983,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Óleos Comb,3820,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Biomassa,3951,6645,8001,8377,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Eólica,574,11015,19780,37497,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Solar,4,1386,7518,7518,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Outros,452,452,452,452,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Pot. Compl.,0,10071,25095,49629,63. Capacidade Instalada de GD limitada a 25 GW em 2050
GD,0,452,1002,1867,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Hidro,63306,93103,105244,105875,56. Redução de 50% no CAPEX de Usina Nuclear
Gás Natural,10476,16147,24035,24459,56. Redução de 50% no CAPEX de Usina Nuclear
Carvão,2380,1689,255,0,56. Redução de 50% no CAPEX de Usina Nuclear
Nuclear,1813,3144,3144,3144,56. Redução de 50% no CAPEX de Usina Nuclear
Óleos Comb,3624,0,0,0,56. Redução de 50% no CAPEX de Usina Nuclear
Biomassa,4009,8668,8495,8278,56. Redução de 50% no CAPEX de Usina Nuclear
Eólica,1204,12784,29452,40715,56. Redução de 50% no CAPEX de Usina Nuclear
Solar,4,434,944,7841,56. Redução de 50% no CAPEX de Usina Nuclear
Outros,452,452,452,452,56. Redução de 50% no CAPEX de Usina Nuclear
Pot. Compl.,0,12769,28816,60542,56. Redução de 50% no CAPEX de Usina Nuclear
GD,0,904,2005,3733,56. Redução de 50% no CAPEX de Usina Nuclear
Hidro,65331,93741,95867,95937,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Gás Natural,9805,18511,31171,39168,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Carvão,2107,2635,1551,1551,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
