Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Pot. Compl.,0,0,0,0,8. Repotenciação de UHE
GD,2,3015,6339,11464,8. Repotenciação de UHE
Hidro,48809,69762,73044,71835,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Gás Natural,5804,4370,6643,9711,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Carvão,1828,623,285,0,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Nuclear,1725,8738,9104,9470,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,311,0,0,0,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Biomassa,4037,4743,4482,4252,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Eólica,2887,20037,43579,63865,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Solar,5,972,8358,20444,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Outros,428,428,428,428,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0,0,0,0,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
GD,2,3015,6339,11464,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Hidro,46655,66844,64474,58582,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Gás Natural,6704,2792,2857,1140,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Carvão,1884,584,247,0,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Nuclear,1770,2963,2963,2918,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Óleos Comb,1178,0,0,0,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Biomassa,4037,9110,7910,7071,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Eólica,2887,25210,55181,85916,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Solar,5,1742,11865,23950,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Outros,428,428,428,428,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Pot. Compl.,0,0,0,0,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
GD,2,3015,6339,11464,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Hidro,48826,72623,82332,85492,61. Carvão financiado com redução de 20% no CAPEX
Gás Natural,5788,4538,5198,9341,61. Carvão financiado com redução de 20% no CAPEX
Carvão,1828,1766,1668,1613,61. Carvão financiado com redução de 20% no CAPEX
Nuclear,1725,2963,3008,3008,61. Carvão financiado com redução de 20% no CAPEX
Óleos Comb,311,0,0,0,61. Carvão financiado com redução de 20% no CAPEX
Biomassa,4037,7856,7562,7362,61. Carvão financiado com redução de 20% no CAPEX
Eólica,2887,18955,44401,62065,61. Carvão financiado com redução de 20% no CAPEX
Solar,5,545,1327,10697,61. Carvão financiado com redução de 20% no CAPEX
Outros,428,428,428,428,61. Carvão financiado com redução de 20% no CAPEX
Pot. Compl.,0,0,0,0,61. Carvão financiado com redução de 20% no CAPEX
GD,2,3015,6339,11464,61. Carvão financiado com redução de 20% no CAPEX
Hidro,48826,73252,86479,88654,43. Repotenciação de UHE
Gás Natural,5788,4574,4920,9576,43. Repotenciação de UHE
Carvão,1828,584,285,0,43. Repotenciação de UHE
Nuclear,1725,2963,3008,3008,43. Repotenciação de UHE
Óleos Comb,311,0,0,0,43. Repotenciação de UHE
Biomassa,4037,8082,7817,7587,43. Repotenciação de UHE
Eólica,2887,19245,41664,59964,43. Repotenciação de UHE
Solar,5,545,1324,10787,43. Repotenciação de UHE
Outros,428,428,428,428,43. Repotenciação de UHE
Pot. Compl.,0,0,0,0,43. Repotenciação de UHE
GD,2,3015,6339,11464,43. Repotenciação de UHE
Hidro,48809,72626,82632,85712,55. Redução de 45% no CAPEX de Usina Nuclear
Gás Natural,5804,4557,5764,10444,55. Redução de 45% no CAPEX de Usina Nuclear
Carvão,1828,584,285,0,55. Redução de 45% no CAPEX de Usina Nuclear
Nuclear,1725,2963,3008,3008,55. Redução de 45% no CAPEX de Usina Nuclear
Óleos Comb,311,0,0,0,55. Redução de 45% no CAPEX de Usina Nuclear
Biomassa,4037,7940,7676,7446,55. Redução de 45% no CAPEX de Usina Nuclear
Eólica,2887,20030,44804,61938,55. Redução de 45% no CAPEX de Usina Nuclear
Solar,5,545,1327,11030,55. Redução de 45% no CAPEX de Usina Nuclear
Outros,428,428,428,428,55. Redução de 45% no CAPEX de Usina Nuclear
Pot. Compl.,0,0,0,0,55. Redução de 45% no CAPEX de Usina Nuclear
GD,2,3015,6339,11464,55. Redução de 45% no CAPEX de Usina Nuclear
Hidro,48826,73082,82876,87049,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Gás Natural,5788,4877,5894,13459,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Carvão,1828,623,285,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Nuclear,1725,2963,3008,3008,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Óleos Comb,311,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Biomassa,4037,5537,5243,5043,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Eólica,2887,23125,49393,70825,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Solar,5,545,1967,5925,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Outros,428,428,428,428,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Pot. Compl.,0,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
GD,1,1507,3169,5732,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Hidro,48809,72626,82632,85712,56. Redução de 50% no CAPEX de Usina Nuclear
Gás Natural,5804,4557,5764,10444,56. Redução de 50% no CAPEX de Usina Nuclear
Carvão,1828,584,285,0,56. Redução de 50% no CAPEX de Usina Nuclear
Nuclear,1725,2963,3008,3008,56. Redução de 50% no CAPEX de Usina Nuclear
Óleos Comb,311,0,0,0,56. Redução de 50% no CAPEX de Usina Nuclear
Biomassa,4037,7940,7676,7446,56. Redução de 50% no CAPEX de Usina Nuclear
Eólica,2887,20030,44804,61938,56. Redução de 50% no CAPEX de Usina Nuclear
Solar,5,545,1327,11030,56. Redução de 50% no CAPEX de Usina Nuclear
Outros,428,428,428,428,56. Redução de 50% no CAPEX de Usina Nuclear
Pot. Compl.,0,0,0,0,56. Redução de 50% no CAPEX de Usina Nuclear
GD,2,3015,6339,11464,56. Redução de 50% no CAPEX de Usina Nuclear
Hidro,48833,74612,83872,86071,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Gás Natural,5788,6370,9559,16947,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Carvão,1828,933,285,0,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Nuclear,1725,3001,3008,3053,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Óleos Comb,311,0,0,0,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Biomassa,4029,8292,8646,8730,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Eólica,2887,14157,29166,53816,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Solar,5,1880,10959,10959,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Outros,428,428,428,428,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Pot. Compl.,0,0,0,0,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
GD,2,3015,6339,11464,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Hidro,48826,73040,82977,86016,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,5788,4763,5188,10992,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,1828,623,285,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Nuclear,1725,2963,3008,3008,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,311,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,4037,6688,6423,6194,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,2887,20624,46306,66433,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,5,545,1309,6936,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,428,428,428,428,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,2,3015,6339,11464,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,48809,72524,83453,84117,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
